장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
발라드,1,지아,사랑하기 싫어,사랑하기 싫어,https://cdnimg.melon.co.kr/cm2/album/images/111/88/007/11188007_20230223114254_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=bKfQmdCWKoQ
발라드,2,송하예,너를 보는게 지친 하루에,너를 보는게 지친 하루에,https://cdnimg.melon.co.kr/cm2/album/images/112/05/854/11205854_20230317102921_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=W-4fo94U4Tc
발라드,3,멜로망스,사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=pTe9aJHEF_o
발라드,4,성시경,너의 모든 순간,별에서 온 그대 OST Part.7,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=i2aRMXZR1k0
발라드,5,임영웅,사랑은 늘 도망가,신사와 아가씨 OST Part.2,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=LKQ-18LoFQk
발라드,6,WSG워너비 (가야G),결국엔 너에게 닿아서,결국엔 너에게 닿아서,https://cdnimg.melon.co.kr/cm2/album/images/112/05/313/11205313_20230316151054_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=8BK3Rn3s_oY
발라드,7,포맨 (4MEN),나비무덤,나비무덤,https://cdnimg.melon.co.kr/cm2/album/images/111/93/225/11193225_20230228162826_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=clABfLeJFkM
발라드,8,#안녕,해요 (2022),해요 (2022),https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=P6gV_t70KAk
발라드,9,테이,Monologue,Monologue,https://cdnimg.melon.co.kr/cm2/album/images/110/57/545/11057545_20221021124737_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=i-u2TTV22UE
발라드,10,우디 (Woody),Say I Love You,Say I Love You (Re : WIND 4MEN Vol.04),https://cdnimg.melon.co.kr/cm2/album/images/111/28/774/11128774_20221220164233_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=2jr2TZfqU1E
발라드,11,김민석 (멜로망스),취중고백,취중고백,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=VMQl78z1DiY
발라드,12,주호,내가 아니라도,내가 아니라도,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=lAq9l8o6UXU
발라드,13,먼데이 키즈 (Monday Kiz),되돌리다,되돌리다,https://cdnimg.melon.co.kr/cm2/album/images/112/06/217/11206217_20230317162759_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=qryJkhjniHk
발라드,14,WSG워너비 (가야G),그때 그 순간 그대로 (그그그),WSG워너비 1집,https://cdnimg.melon.co.kr/cm2/album/images/110/00/171/11000171_20220708163659_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=aH
발라드,15,경서예지,다정히 내 이름을 부르면,다정히 내 이름을 부르면 (경서예지 x 전건호),https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=b_6EfFZyBxY
발라드,16,HIGH4 (하이포),봄 사랑 벚꽃 말고,봄 사랑 벚꽃 말고,https://cdnimg.melon.co.kr/cm/album/images/022/48/659/2248659_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=ouR4nn1G9r4
발라드,17,임영웅,우리들의 블루스,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=JPPIrXdocjQ
발라드,18,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=nq0BYGyH2Do
발라드,19,경서,나의 X에게,나의 X에게,https://cdnimg.melon.co.kr/cm2/album/images/109/29/486/10929486_20220422151852_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=iAfxyHOmHrM
발라드,20,임한별,사랑하지 않아서 그랬어,사랑하지 않아서 그랬어,https://cdnimg.melon.co.kr/cm2/album/images/112/15/072/11215072_20230331123824_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=ve7vLxUVFpE
발라드,21,주호,잘가요,잘가요,https://cdnimg.melon.co.kr/cm2/album/images/111/15/359/11115359_20221202124614_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=yfeaSjN1kSo
발라드,22,송하예,그대를 알고,그대를 알고,https://cdnimg.melon.co.kr/cm2/album/images/111/21/346/11121346_20221213100914_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=FaMCcbrRLCs
발라드,23,임영웅,다시 만날 수 있을까,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=sHqFqWDviBg
발라드,24,임창정,그대라는 사치,그대라는 사치,https://cdnimg.melon.co.kr/cm2/album/images/112/00/832/11200832_20230310112744_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=cdmiRnRP0Fo
발라드,25,DK(디셈버),발걸음,발걸음,https://cdnimg.melon.co.kr/cm2/album/images/112/13/288/11213288_20230329152659_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=1Zv_iZmpz64
발라드,26,로꼬,우연히 봄,냄새를 보는 소녀 OST Part.2,https://cdnimg.melon.co.kr/cm/album/images/023/12/287/2312287_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=AAk0ZvS5X90
발라드,27,정효빈,혼자가 아닌 나,혼자가 아닌 나,https://cdnimg.melon.co.kr/cm2/album/images/111/93/196/11193196_20230228155717_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=XHAuhtrtaOI
발라드,28,신예영,마지막 사랑,마지막 사랑,https://cdnimg.melon.co.kr/cm2/album/images/111/46/628/11146628_20230112111111_500.jpg/melon/resize/282/quality/80/optimize,https://www.youtube.com/watch?v=bokR8sXylQE
