아티스트,곡명,앨범명,앨범이미지,유튜브링크
Fenne Lily,In My Own Time,Big Picture,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/713/916/83713916_1681379579578_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qFM2yBy6GUA
Holy Hive,Float Back To You,Float Back To You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/455/449/81455449_1590661999029_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XUbErkVGmBQ
Sofia Mills,Baby Magic,Baby Magic,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/662/660/82662660_1651652265458_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mTuAh97IU04
Faye Webster,A Dream with a Baseball Player,I Know I'm Funny haha,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/096/331/82096331_1624437161510_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0VVjgdY-Fw8
Slow Pulp,Falling Apart,Moveys,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/610/874/81610874_1602150479163_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yuoFLLHB1Fc
The Lemon Twigs,Every Day Is The Worst Day Of My Life,Every Day Is The Worst Day Of My Life,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/711/894/83711894_1681265287428_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cdzDRhTTfnc
Claud,Falling With The Rain (Feat. Shelly),Super Monster,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/889/904/81889904_1612857693666_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=--ZXwJNQ_7I
Sen Morimoto,Woof,Sen Morimoto,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/663/701/81663701_1603362467354_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=V_ejET16maY
Mac Demarco,Another One,Another One,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/726/950/80726950_1445570561334_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gbg27oT8Z9M
Mitski,Glide (cover),Glide (cover),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/648/144/82648144_1650447984572_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=P1IwT4GpovU
Phoebe Bridgers,Smoke Signals,Stranger In The Alps (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/110/635/81110635_1538985075979_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_Zx5eSNzC8U
Annie Blackman,Pickets,All of It,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/618/023/82618023_1649062879007_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=s04RKe2yZE8
Unknown Mortal Orchestra,The Beach,V,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/633/961/83633961_1679020186023_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ig0ETZgaAiE
Sadurn,icepick,Radiator,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/662/643/82662643_1651652201098_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=W_lLl7AbRVQ
Sufjan Stevens,Fourth of July (April Base Ver.),Fourth of July,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/798/625/82798625_1656653103647_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SIGZimaAV4M
Casey Conroy,As Deep As You Loved Me,It's Just Living,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/894/824/82894824_1660628436322_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hxDenl7By64
Nilufer Yanya,midnight sun,PAINLESS (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/634/724/83634724_1679481757519_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ax_tCstL-H4
Whitney,Polly,Light Upon The Lake,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/911/426/80911426_1483682384095_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mtU5O-A0OMI
Emily King,False Start,False Start,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/696/982/83696982_1680661387042_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Zpht8oaLXn8
Emile Mosseri,Oklahoma Baby,Oklahoma Baby,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/189/83652189_1679909504013_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w1ZWqHl7RtI
Hatchie,Take My Hand,Giving The World Away (Deluxe),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/688/768/83688768_1680766547598_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vbPtxeCqJAE
Joey Dosik,Running Away,Game Winner (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/038/218/81038218_1519954338516_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wvpLjcXU3hY
Girl Ray,Hold Tight,Hold Tight,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/700/468/83700468_1681104519666_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HF7OndUB6ss
Fenne Lily,Berlin,BREACH,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/567/539/81567539_1600330720592_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BN7EW7CAT3o
Katelyn Tarver,All Our Friends Are Splitting Up,Subject To Change,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/362/142/82362142_1636621061542_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oVAEPisRSCI
Charlie Hickey,Time To Pretend,Time To Pretend,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/631/138/83631138_1679472496935_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZjtpNL2OhF4
