아티스트,곡명,앨범명,앨범이미지,유튜브링크
Konzerthaus Kammerorchester Berlin,Spring 3,"Recomposed By Max Richter : Vivaldi, The Four Seasons","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/562/015/80562015_1433136025964_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6Ca3HR6wtdo
Lukas Hagen,"Haydn : String Quartet In D Major, Op.64, No.5 'The Lark' (Hob.III:63) - 4. Finale. Vivace","Haydn: String Quartets Op.64 No.5 The Lark, Op.1 No.1, Op.74 No.3 The Horseman","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/273/271/80273271_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pN4IyjPfsiU
Mischa Maisky,"Haydn : Cello Concerto In C, H.VIIb, No.1 - 3. Finale (Allegro Molto)","Haydn: Cello Concertos Nos.1 & 2, Violin (Cello) Concerto No.4","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/273/394/80273394_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ArOX-AGVMGM
Vikingur Olafsson,"Mozart : Rondo in D Major, K. 485","Mozart : Rondo in D Major, K. 485","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/158/002/82158002_1627439753506_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cD2nO6xTfik
Dietrich Fischer-Dieskau,"Schubert : Erlkonig, D. 328 (Op.1) - Wer Reitet So Spat",Schubert: Lieder,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/287/520/80287520_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3Y1g0c747x0
Emil Gilels,"Beethoven : Piano Sonata No.14 In C Sharp Minor, Op.27 No.2 -'Moonlight' - 3. Presto Agitato","Beethoven: Piano Sonatas Nos.8 Pathetique, 13 & 14 Moonlight","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/273/245/80273245_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=A4LVD594qc4
Jerome Rosen & The Boston Pops Orchestra & Arthur Fiedler,"Saint-Saens : Danse Macabre In G Minor Op.40 (생상스 : 죽음의 무도 (2008-2009 시즌, 쇼트 프로그램))",The Queen On Ice (The Classics Best Album),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/409/541/80409541_1394689201383_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=N-jTz5miveE
Daniil Trifonov & Mariinsky Orchestra & Valery Gergiev,"Prokofiev : Piano Concerto No. 2 in G Minor, Op. 16 - II. Scherzo. Vivace",Silver Age,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/715/105/81715105_1604466335767_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yOl0MQwpvXc
Pepe Romero,"Albeniz : Suite Espanola, Op.47 - Asturias (Leyenda)",Tarrega : Recuerdos De La Alhambra / Albeniz : Asturias / Jeux Interdits,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/922/992/80922992_1487146653942_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Y5XQLK7C7WI
Christian Li & Timothy Young,Bazzini : La ronde des Lutins,Bazzini : La ronde des Lutins,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/394/504/81394504_1584595830825_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NAuZM8hgq_I
